seed,gen,best_ppf,sigma,h_sens_pop,div,stag,n_al
42,44,1.8016407489776611,0.07108209282159805,1.7087754676309506,1.0,3,50
42,45,1.8016407489776611,0.07108209282159805,1.704978370591394,1.0,4,50
42,46,1.8016407489776611,0.07108209282159805,1.6975195064686541,1.0,5,50
42,47,1.8016407489776611,0.07108209282159805,1.7050859430937142,1.0,6,50
42,48,1.8016407489776611,0.07108209282159805,1.6990633034127194,1.0,7,50
42,49,1.8016407489776611,0.07108209282159805,1.6947394475736388,1.0,8,50
42,50,1.8016407489776611,0.07108209282159805,1.7128166240240648,1.0,9,50
42,51,1.8016407489776611,0.07108209282159805,1.7051161814064673,1.0,10,50
42,52,1.8016407489776611,0.07108209282159805,1.687307286597014,1.0,11,50
42,53,1.8016407489776611,0.07108209282159805,1.6591278184770102,1.0,12,50
42,54,1.8016407489776611,0.07108209282159805,1.6798399947598002,1.0,13,50
42,55,1.8016407489776611,0.07108209282159805,1.7085512658600848,1.0,14,50
42,56,1.8016407489776611,0.07108209282159805,1.6914671345908576,1.0,15,50
42,57,1.8016407489776611,0.07108209282159805,1.6953914355332904,1.0,16,50
42,58,1.8016407489776611,0.07108209282159805,1.7120960263755096,1.0,17,50
42,59,1.8016407489776611,0.07108209282159805,1.7280467667954633,1.0,18,50
42,60,1.8016407489776611,0.07108209282159805,1.6994555131596232,1.0,19,50
42,61,1.8016407489776611,0.07108209282159805,1.7211746953985174,1.0,0,50
42,62,1.8016407489776611,0.07108209282159805,1.6864416049704383,1.0,1,50
42,63,1.8016407489776611,0.07108209282159805,1.6753322832566822,1.0,2,50
42,64,1.8016407489776611,0.07108209282159805,1.6396440704313167,1.0,3,50
42,65,1.8016407489776611,0.07108209282159805,1.6518032400491518,1.0,4,50
42,66,1.8016407489776611,0.07108209282159805,1.6613648988099885,1.0,5,50
42,67,1.8016407489776611,0.07108209282159805,1.6670957444467245,1.0,6,50
42,68,1.8016407489776611,0.07108209282159805,1.67067401582278,1.0,7,50
42,69,1.8016407489776611,0.07108209282159805,1.6865740544813035,1.0,8,50
42,70,1.8016407489776611,0.07108209282159805,1.6909390451342492,1.0,9,50
42,71,1.8016407489776611,0.07108209282159805,1.6593194651820748,1.0,10,50
42,72,1.8016407489776611,0.07108209282159805,1.659872489564108,1.0,11,50
42,73,1.8016407489776611,0.07108209282159805,1.692598881743497,1.0,12,50
42,74,1.8016407489776611,0.07108209282159805,1.6639105906919305,1.0,13,50
42,75,1.8016407489776611,0.07108209282159805,1.7004054512225717,1.0,14,50
42,76,1.8016407489776611,0.07108209282159805,1.6792669227345363,1.0,15,50
42,77,1.8016407489776611,0.07108209282159805,1.6740642536750463,1.0,16,50
42,78,1.8016407489776611,0.07108209282159805,1.6927874774839362,1.0,17,50
42,79,1.8016407489776611,0.07108209282159805,1.702558436275729,1.0,18,50
42,80,1.8016407489776611,0.07108209282159805,1.7044601699894577,1.0,19,50
