seed,gen,best_ppf,best_fit,sigma,h_sens_pop,div,stag,n_al_global
137,92,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6218830911547517,1.0,13,64
137,93,1.9831373691558838,341.4464111328125,0.07102782279253006,1.615279079918884,1.0,14,64
137,94,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6326747128249866,1.0,0,64
137,95,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6386596636709563,1.0,1,64
137,96,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6351590644224012,1.0,2,64
137,97,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6130010582929577,1.0,3,64
137,98,1.9831373691558838,341.4464111328125,0.07102782279253006,1.595300331080571,1.0,4,64
137,99,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5750523714686318,1.0,5,64
137,100,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6118270568344797,1.0,6,64
137,101,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6167118233165758,1.0,7,64
137,102,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6294578215705633,1.0,8,64
137,103,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6369234080918293,1.0,9,64
137,104,1.9831373691558838,341.4464111328125,0.07102782279253006,1.624724305358564,1.0,10,64
137,105,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6154907225901984,1.0,11,64
137,106,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6493222742091491,1.0,12,64
137,107,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6430395214338123,1.0,13,64
137,108,1.9831373691558838,341.4464111328125,0.07102782279253006,1.635773275242614,1.0,14,64
137,109,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6242768250033877,1.0,0,64
137,110,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6048242484583486,1.0,1,64
137,111,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6156285336366767,1.0,2,64
137,112,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6187708200961748,1.0,3,64
137,113,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5973004785917608,1.0,4,64
137,114,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5752441786372877,1.0,5,64
137,115,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5837960734297685,1.0,6,64
137,116,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6024967746492955,1.0,7,64
137,117,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6074784662561374,1.0,8,64
137,118,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5886943636852642,1.0,9,64
137,119,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5872853636729671,1.0,10,64
