seed,gen,ppf_pred,sigma,h_sens_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
88,2,5.114594459533691,0.1939669102430343,1.7248557305898056,32.384944915771484,3.2457664012908936,5,1,5,5,1,1,1,2,5,3,5,4,8,1,1,3,1,1,1,6,1,4,2,4,4,4,1,1,5,5,3
509,1,5.982625961303711,0.2029265314340591,1.7331331101210403,31.861948013305664,3.174179077148437,6,5,1,1,3,5,4,1,5,1,4,3,7,5,1,3,1,7,4,5,4,1,6,1,1,1,1,9,1,1,1
88,2,3.5738492012023926,0.1980499625205993,1.7248557305898056,31.038013458251957,3.1407315731048584,5,6,8,3,4,5,1,5,1,3,8,1,6,5,5,5,1,1,1,1,1,4,1,1,3,1,1,1,1,1,5
88,1,5.565248966217041,0.1773216873407364,1.7247864634711405,32.24504852294922,2.975515842437744,5,1,6,5,1,6,1,1,5,3,9,4,1,1,5,3,4,1,1,1,5,4,2,4,4,5,1,1,1,5,3
2718,1,4.122612476348877,0.1517359763383865,1.729824327874098,38.91439056396485,2.953178882598877,1,5,8,5,1,1,5,6,2,9,4,5,4,7,4,5,6,4,5,4,3,1,1,6,1,1,9,5,1,4,3
42,2,4.500786304473877,0.1339220702648162,1.7120449019615265,33.3157958984375,2.9355669021606445,5,6,1,1,3,2,1,5,1,1,3,5,1,3,4,6,7,4,1,3,3,5,1,1,4,1,3,3,3,5,9
2718,2,4.517900466918945,0.1953775435686111,1.7459416259603515,32.38917541503906,2.9096930027008057,1,5,5,1,8,5,1,3,6,1,5,1,1,1,3,9,4,5,5,3,4,1,5,1,8,6,4,1,1,1,1
88,2,5.012977123260498,0.1522577404975891,1.7248557305898056,37.66000747680664,2.903540134429932,2,5,6,5,3,8,7,4,1,3,4,1,6,1,6,5,1,8,3,6,1,6,3,1,6,1,1,4,3,4,2
88,1,4.254565238952637,0.1626631468534469,1.7247864634711405,33.862300872802734,2.8204894065856934,1,5,3,5,4,1,5,2,1,1,9,1,3,4,6,5,4,2,4,1,3,1,1,6,1,9,1,1,7,3,4
2718,1,6.263565540313721,0.1912606358528137,1.729824327874098,33.282264709472656,2.8200714588165283,6,2,5,1,5,1,5,6,5,1,3,4,1,5,1,1,3,4,7,9,6,1,4,1,1,4,1,1,1,1,8
